,top1,top2,top3
3084,0.47068291902542114,0.6713001728057861,0.7972756028175354
3085,0.4698575437068939,0.6772102117538452,0.7890042066574097
3086,0.46373891830444336,0.6559885144233704,0.7875814437866211
3087,0.48131120204925537,0.6934235692024231,0.8255870938301086
3088,0.4488832950592041,0.6491336226463318,0.7786557674407959
3089,0.42792272567749023,0.6566079258918762,0.7927172780036926
3090,0.45779165625572205,0.6683790683746338,0.7912960648536682
3091,0.46378016471862793,0.6734943985939026,0.7996942400932312
3092,0.4838271737098694,0.6802563667297363,0.8018343448638916
3093,0.45280328392982483,0.6713815331459045,0.803693413734436
3094,0.4641522765159607,0.6774954795837402,0.7981188893318176
3095,0.47321268916130066,0.668369710445404,0.7911349534988403
3096,0.4416426718235016,0.6693933606147766,0.7980813980102539
3097,0.42692989110946655,0.6782482862472534,0.8062930107116699
3098,0.42982757091522217,0.65127032995224,0.7932620644569397
3099,0.4725891351699829,0.6768540740013123,0.8017419576644897
3100,0.44522807002067566,0.6507449150085449,0.7802058458328247
3101,0.4676893353462219,0.6986545324325562,0.8141539096832275
3102,0.4704340398311615,0.6687976121902466,0.8076671361923218
3103,0.44952669739723206,0.6816666722297668,0.8078128099441528
3104,0.43711593747138977,0.6715712547302246,0.79449462890625
3105,0.47509175539016724,0.6729903221130371,0.801495373249054
3106,0.4523930847644806,0.6719521284103394,0.7946034073829651
3107,0.47321733832359314,0.6647731065750122,0.782469630241394
3108,0.47755002975463867,0.686200737953186,0.8248631954193115
3109,0.4392825663089752,0.6446946263313293,0.7762313485145569
3110,0.463120698928833,0.6823714375495911,0.8167598843574524
3111,0.43766364455223083,0.6484506130218506,0.7739309072494507
3112,0.4189203381538391,0.6383776068687439,0.7699055671691895
3113,0.40134626626968384,0.6002015471458435,0.746781587600708
3114,0.46669822931289673,0.6971014738082886,0.8174256086349487
3115,0.4425843060016632,0.6722142100334167,0.8116559386253357
3116,0.4540266692638397,0.67258220911026,0.8007082343101501
3117,0.4112609922885895,0.6268389225006104,0.7691381573677063
3118,0.41153615713119507,0.6141723394393921,0.7477078437805176
3119,0.43627500534057617,0.6778501272201538,0.808905303478241
3120,0.4579433798789978,0.6646687984466553,0.7788390517234802
3121,0.46278437972068787,0.6714929342269897,0.7948044538497925
3122,0.4543328285217285,0.6582732796669006,0.7832395434379578
3123,0.44344088435173035,0.6580504775047302,0.7851077318191528
3124,0.44056761264801025,0.6488913297653198,0.774734377861023
3125,0.42838501930236816,0.6432572603225708,0.7686219811439514
3126,0.4269084334373474,0.6490607857704163,0.7767638564109802
3127,0.4512651562690735,0.643889307975769,0.7741414308547974
3128,0.44529610872268677,0.6500305533409119,0.789366602897644
3129,0.42535901069641113,0.637683629989624,0.7740451097488403
3130,0.41076067090034485,0.6463890671730042,0.7905409932136536
3131,0.4720602035522461,0.6735349893569946,0.7989706993103027
3132,0.48934075236320496,0.7003394961357117,0.8212144374847412
3133,0.4401841163635254,0.6512222290039062,0.7887715697288513
3134,0.453878253698349,0.6604042053222656,0.7873348593711853
3135,0.45192521810531616,0.6693661212921143,0.7955485582351685
3136,0.43491387367248535,0.6466681361198425,0.7773804664611816
3137,0.47211143374443054,0.6901883482933044,0.819282054901123
3138,0.43507903814315796,0.6871836185455322,0.8076208233833313
3139,0.4180763363838196,0.6377049684524536,0.7849071621894836
3140,0.43587741255760193,0.6451708078384399,0.7818399667739868
3141,0.45915964245796204,0.6928262114524841,0.8010315299034119
3142,0.4206443130970001,0.6368194818496704,0.784063458442688
3143,0.450612336397171,0.6947493553161621,0.8174794912338257
3144,0.4927608370780945,0.6891270875930786,0.8177995681762695
3145,0.4320165812969208,0.6311583518981934,0.7575505971908569
3146,0.4298796057701111,0.6564804911613464,0.8034701347351074
3147,0.4339815378189087,0.6463319063186646,0.7652544975280762
3148,0.4687069058418274,0.6761073470115662,0.7972704768180847
3149,0.4403177499771118,0.6518456339836121,0.7971523404121399
3150,0.4708137810230255,0.6869524121284485,0.8098887205123901
3151,0.46001261472702026,0.677383542060852,0.7875217795372009
3152,0.41717225313186646,0.6238223910331726,0.7534626126289368
3153,0.46432963013648987,0.6918437480926514,0.810030460357666
3154,0.48936760425567627,0.6967953443527222,0.8020507097244263
3155,0.3864579200744629,0.6082947254180908,0.7513076066970825
3156,0.46463167667388916,0.6705533862113953,0.7908198237419128
3157,0.47375252842903137,0.6795737743377686,0.7947986721992493
3158,0.45648401975631714,0.6611573696136475,0.778896689414978
3159,0.43960991501808167,0.6636403799057007,0.7943925261497498
3160,0.46219611167907715,0.6629695296287537,0.7985804080963135
3161,0.4800179898738861,0.6717809438705444,0.7945186495780945
3162,0.44570305943489075,0.6659876108169556,0.796375036239624
3163,0.4581630229949951,0.6811116933822632,0.806522011756897
3164,0.4482242465019226,0.6630484461784363,0.7876678109169006
3165,0.45097601413726807,0.6718304753303528,0.7996911406517029
3166,0.46224191784858704,0.6841254830360413,0.7867122888565063
3167,0.43171027302742004,0.6483855247497559,0.7811647653579712
3168,0.4371873736381531,0.652507483959198,0.7722700238227844
3169,0.4451912045478821,0.6777905225753784,0.8001221418380737
3170,0.48430243134498596,0.6820154786109924,0.8080576658248901
3171,0.46284183859825134,0.6741534471511841,0.7968249917030334
3172,0.4341604709625244,0.6796466708183289,0.7924809455871582
3173,0.46395057439804077,0.6743437647819519,0.8036768436431885
3174,0.45570456981658936,0.6759129762649536,0.7980626821517944
3175,0.4371381402015686,0.6541022658348083,0.7747941017150879
3176,0.460040807723999,0.6697375774383545,0.7970800399780273
3177,0.4737466275691986,0.6966063976287842,0.8281033635139465
3178,0.4530337452888489,0.6732780933380127,0.7936209440231323
3179,0.43264320492744446,0.65482497215271,0.7781471610069275
3180,0.4781454801559448,0.689540445804596,0.8069136738777161
3181,0.4427933692932129,0.6689620018005371,0.7815213799476624
3182,0.424741268157959,0.636386513710022,0.7628740072250366
3183,0.44084063172340393,0.6586791276931763,0.7749874591827393
3184,0.4510796070098877,0.6695669293403625,0.7802314758300781
3185,0.46292951703071594,0.6743594408035278,0.7912537455558777
3186,0.43385255336761475,0.6522502899169922,0.7834404110908508
3187,0.43607985973358154,0.6627413630485535,0.7825949192047119
3188,0.4598987102508545,0.6644846796989441,0.7987954616546631
3189,0.46404439210891724,0.6640499830245972,0.7991151809692383
3190,0.500759482383728,0.7111070156097412,0.832747220993042
3191,0.46122637391090393,0.6885156035423279,0.8118799328804016
3192,0.4820806384086609,0.6761140823364258,0.8037248849868774
3193,0.433689147233963,0.6445154547691345,0.7715895771980286
3194,0.43543317914009094,0.6346497535705566,0.7745754718780518
3195,0.47398602962493896,0.6921039819717407,0.8073329329490662
3196,0.48031193017959595,0.6944076418876648,0.8103654384613037
3197,0.46142247319221497,0.6645340919494629,0.7938812971115112
3198,0.4253098666667938,0.6499059796333313,0.7946606874465942
3199,0.4289160966873169,0.6424499154090881,0.7627741694450378
3200,0.4431159198284149,0.673136830329895,0.7885708808898926
3201,0.4523282051086426,0.6704106330871582,0.8000332117080688
3202,0.4111626446247101,0.6310620903968811,0.7668195366859436
3203,0.4483093321323395,0.6612000465393066,0.794383704662323
3204,0.4133365750312805,0.6345697641372681,0.7637425065040588
3205,0.46141117811203003,0.6593880653381348,0.7750039100646973
3206,0.4108871817588806,0.6102246642112732,0.7550137639045715
3207,0.47580987215042114,0.6701420545578003,0.7971481084823608
3208,0.47594910860061646,0.6833484768867493,0.8279391527175903
3209,0.4448881149291992,0.6616073846817017,0.7976734638214111
3210,0.4770241975784302,0.6814244389533997,0.803138256072998
3211,0.43143588304519653,0.6634630560874939,0.7974653840065002
3212,0.471430242061615,0.664561927318573,0.8045331835746765
3213,0.4871770739555359,0.6910905838012695,0.8047555685043335
3214,0.4507984519004822,0.6704007983207703,0.8001900315284729
3215,0.4706360697746277,0.6712871789932251,0.790307343006134
3216,0.4751863181591034,0.6900076270103455,0.825279951095581
3217,0.4499654769897461,0.6701372861862183,0.7873114347457886
3218,0.4501994848251343,0.6564567685127258,0.7889457941055298
3219,0.4787677526473999,0.6826456785202026,0.809525191783905
3220,0.461514413356781,0.677619218826294,0.8044329881668091
3221,0.4488723576068878,0.6791236996650696,0.8187544345855713
3222,0.4344521760940552,0.673975944519043,0.796833336353302
3223,0.4504784345626831,0.6810860633850098,0.8050944209098816
3224,0.4545519948005676,0.6751773953437805,0.7922845482826233
3225,0.3992646634578705,0.6220837235450745,0.7619798183441162
3226,0.4499139189720154,0.6485415101051331,0.7730281352996826
3227,0.48946550488471985,0.6905410885810852,0.7939164042472839
3228,0.45798271894454956,0.6702273488044739,0.7930824756622314
3229,0.4477307200431824,0.6510354280471802,0.7861493229866028
3230,0.4621564745903015,0.6695841550827026,0.7906262874603271
3231,0.42814508080482483,0.6479347944259644,0.7762928605079651
3232,0.45386821031570435,0.6443023681640625,0.7775421142578125
3233,0.4842106103897095,0.6903775334358215,0.8275409936904907
3234,0.4816384017467499,0.6845465302467346,0.7972970008850098
3235,0.4734157919883728,0.679388701915741,0.8006746172904968
3236,0.45892006158828735,0.6935369372367859,0.8005706667900085
3237,0.5023753643035889,0.7240568995475769,0.8186851739883423
3238,0.4964587092399597,0.7134762406349182,0.838046669960022
3239,0.45706549286842346,0.6696950197219849,0.7857005000114441
3240,0.4779679775238037,0.6704092025756836,0.7939869165420532
3241,0.44062381982803345,0.6740803718566895,0.7919642329216003
3242,0.41322678327560425,0.6298930644989014,0.7514655590057373
3243,0.4647746980190277,0.6970382332801819,0.8068913221359253
3244,0.4070102572441101,0.6228358745574951,0.7446048855781555
3245,0.45262306928634644,0.6582522392272949,0.7763282060623169
3246,0.4447114169597626,0.6798139214515686,0.7929048538208008
3247,0.4596812427043915,0.6993250846862793,0.8203951120376587
3248,0.4730713963508606,0.6908731460571289,0.8048232793807983
3249,0.4679107069969177,0.6878049373626709,0.8021278381347656
3250,0.4172285497188568,0.6318928599357605,0.7792096734046936
3251,0.4622286558151245,0.6522294878959656,0.7947094440460205
3252,0.45765694975852966,0.6718330383300781,0.7970504760742188
3253,0.48361217975616455,0.7043429613113403,0.8307784795761108
3254,0.42328789830207825,0.6476039290428162,0.7727437615394592
3255,0.4449175000190735,0.647797703742981,0.7729896903038025
3256,0.4641905128955841,0.6624473929405212,0.7920456528663635
3257,0.43459707498550415,0.6428384184837341,0.7775338888168335
3258,0.44439178705215454,0.6800918579101562,0.799087643623352
3259,0.45650577545166016,0.6692355275154114,0.7957078218460083
3260,0.46286576986312866,0.6834856867790222,0.8113678097724915
3261,0.49558699131011963,0.6977851390838623,0.8075543642044067
3262,0.4171931743621826,0.6397407054901123,0.7582516670227051
3263,0.43907973170280457,0.6650251150131226,0.7935359477996826
3264,0.47176000475883484,0.6618163585662842,0.7871843576431274
3265,0.4564531445503235,0.6585388779640198,0.7884066104888916
3266,0.4080510139465332,0.632916271686554,0.7634251117706299
3267,0.481081485748291,0.7002055048942566,0.813551127910614
3268,0.4422997236251831,0.6445232033729553,0.768485963344574
3269,0.45972371101379395,0.6935883164405823,0.8116772174835205
3270,0.4504273235797882,0.6903078556060791,0.8166943192481995
3271,0.4798795282840729,0.699256956577301,0.8001735210418701
3272,0.4620072543621063,0.6713219285011292,0.7863096594810486
3273,0.4391062259674072,0.6404796838760376,0.7608436346054077
3274,0.4290112853050232,0.6349327564239502,0.7687089443206787
3275,0.45271384716033936,0.6577249765396118,0.7891620397567749
3276,0.4334656000137329,0.6433478593826294,0.7844208478927612
3277,0.45137277245521545,0.668773889541626,0.8082519173622131
3278,0.44127175211906433,0.6538242101669312,0.7846398949623108
