,batch,epoch,first_picks_top_1,first_picks_top_2,first_picks_top_3,loss,top1,top2,top3
1779,761,1,46.46960496902466,65.03250002861023,76.39264464378357,751.739501953125,0.45946770906448364,0.6727489233016968,0.7958753108978271
1780,762,1,42.949625849723816,61.04183793067932,75.2116858959198,689.5570678710938,0.43968796730041504,0.6684769988059998,0.7951301336288452
1781,763,1,37.008267641067505,59.20145511627197,72.04124331474304,611.026123046875,0.4498624801635742,0.6646717190742493,0.7899207472801208
1782,764,1,42.1833336353302,61.39301657676697,74.58801865577698,755.0463256835938,0.4542984366416931,0.6665931940078735,0.7951534986495972
1783,765,1,42.831817269325256,62.508565187454224,73.17370176315308,457.45849609375,0.46304604411125183,0.6757685542106628,0.7995824217796326
1784,766,1,39.678213000297546,59.800684452056885,69.65047121047974,860.6317138671875,0.4467430114746094,0.6608823537826538,0.7791305780410767
1785,767,1,43.544191122055054,61.17130517959595,76.06515884399414,479.97381591796875,0.4499970078468323,0.6606122255325317,0.7927159667015076
1786,768,1,40.80207049846649,59.22049283981323,69.79089379310608,820.7203369140625,0.44234541058540344,0.6603456735610962,0.7864682674407959
1787,769,1,43.33218336105347,61.190104484558105,70.74092030525208,651.8906860351562,0.4580780863761902,0.6850005984306335,0.7991893291473389
1788,770,1,45.11194825172424,59.72694158554077,71.22693657875061,886.6106567382812,0.4449624717235565,0.6661802530288696,0.7966782450675964
1789,771,1,43.72000694274902,63.554006814956665,73.96180033683777,635.093505859375,0.4558088183403015,0.6678968667984009,0.7944492101669312
1790,772,1,43.50978434085846,64.38747644424438,72.79553413391113,887.96533203125,0.454120397567749,0.6670305728912354,0.7904806137084961
1791,773,1,40.481188893318176,60.844606161117554,70.92278599739075,681.7918701171875,0.45095396041870117,0.6661727428436279,0.7844626903533936
1792,774,1,39.57887291908264,58.752429485321045,71.83994650840759,642.679931640625,0.44021075963974,0.648307204246521,0.7792947292327881
1793,775,1,42.99014508724213,58.01047682762146,73.09147715568542,714.7399291992188,0.4597051739692688,0.6774046421051025,0.7973299622535706
1794,776,1,43.297430872917175,57.74863958358765,71.8554675579071,569.0679931640625,0.46297067403793335,0.6727505922317505,0.8009459972381592
1795,777,1,46.284908056259155,63.5171115398407,74.10856485366821,524.8831787109375,0.46082109212875366,0.6788716316223145,0.8093329071998596
1796,778,1,40.48525393009186,57.776856422424316,71.35727405548096,493.9336853027344,0.4596770107746124,0.6648787260055542,0.786044180393219
1797,779,1,40.38103222846985,58.53667855262756,72.84497618675232,629.5610961914062,0.45317786931991577,0.661726713180542,0.7883958220481873
1798,780,1,41.73819422721863,61.75116300582886,74.05627965927124,978.1069946289062,0.4673112630844116,0.686173677444458,0.8054158687591553
1799,781,1,37.19044625759125,55.28615713119507,66.1357045173645,378.16473388671875,0.43529459834098816,0.648150622844696,0.773797869682312
1800,782,1,37.2298926115036,55.53465485572815,68.82017254829407,859.1778564453125,0.42860156297683716,0.644163966178894,0.7716939449310303
1801,783,1,39.19241428375244,62.51756548881531,72.06804752349854,724.99658203125,0.436874121427536,0.6641129851341248,0.7913820147514343
1802,784,1,39.04898166656494,59.12967920303345,72.76890873908997,557.0818481445312,0.453224778175354,0.6674851775169373,0.7938642501831055
1803,785,1,45.542994141578674,61.95499897003174,73.31093549728394,478.05023193359375,0.45531392097473145,0.6680654287338257,0.7906166315078735
1804,786,1,41.94258451461792,58.88940095901489,69.54540610313416,749.2597045898438,0.4555075168609619,0.6646493673324585,0.7901222109794617
1805,787,1,43.75917315483093,61.847299337387085,72.97239303588867,487.92388916015625,0.442428320646286,0.6469092965126038,0.7741588354110718
1806,788,1,42.59289503097534,60.08126139640808,73.37592840194702,715.4324951171875,0.46841010451316833,0.6821457147598267,0.8045344948768616
1807,789,1,41.97569489479065,63.69991898536682,72.53994345664978,640.869873046875,0.4462049603462219,0.6601667404174805,0.7838430404663086
1808,790,1,45.32460570335388,62.285053730010986,72.0384418964386,822.2098999023438,0.458685040473938,0.6705949306488037,0.7962280511856079
1809,791,1,39.924782514572144,59.84402894973755,71.02475166320801,605.9765014648438,0.4355786442756653,0.6528382301330566,0.7857049107551575
1810,792,1,42.715686559677124,59.334707260131836,70.88262438774109,529.208251953125,0.4486035108566284,0.6572511792182922,0.7777247428894043
1811,793,1,36.92288100719452,60.422056913375854,71.93055152893066,601.5186157226562,0.4471350312232971,0.6623730659484863,0.7814768552780151
1812,794,1,40.71339666843414,58.688318729400635,70.27862071990967,487.47393798828125,0.45054197311401367,0.6600701212882996,0.7846096158027649
1813,795,1,42.714351415634155,62.07261085510254,74.35413599014282,773.4178466796875,0.4485085606575012,0.6650718450546265,0.7959505319595337
1814,796,1,44.78595554828644,63.307738304138184,77.19681859016418,816.989990234375,0.45953822135925293,0.6757198572158813,0.807166337966919
1815,797,1,42.922618985176086,62.40395903587341,76.90439224243164,528.45947265625,0.442088782787323,0.6572766900062561,0.7953910827636719
1816,798,1,34.4190239906311,57.97049403190613,68.34519505500793,531.4951782226562,0.4356028437614441,0.6635637879371643,0.784281849861145
1817,799,1,41.58783257007599,63.23506236076355,75.26847720146179,681.0408935546875,0.46347546577453613,0.6941356658935547,0.8135372996330261
1818,800,1,44.06299591064453,61.601221561431885,73.93940091133118,464.95977783203125,0.45951828360557556,0.6843454837799072,0.8083714842796326
1819,801,1,40.33271074295044,61.05983257293701,72.53382205963135,917.9432373046875,0.4704740643501282,0.6902762651443481,0.8105471134185791
1820,802,1,38.672006130218506,60.59077978134155,70.00382542610168,435.797119140625,0.4637782573699951,0.6770548224449158,0.8035106658935547
1821,803,1,39.40082490444183,57.145196199417114,70.9402084350586,888.4302978515625,0.4584345817565918,0.666195273399353,0.7905924916267395
1822,804,1,45.29356360435486,62.73133158683777,79.01172041893005,594.0153198242188,0.47368723154067993,0.6765255928039551,0.8069077134132385
1823,805,1,41.13263487815857,57.72031545639038,68.13539266586304,812.6045532226562,0.4668896198272705,0.6851000189781189,0.8010532259941101
1824,806,1,45.838674902915955,64.44799900054932,74.56783056259155,644.0914916992188,0.45468851923942566,0.6638919115066528,0.788282573223114
1825,807,1,45.432814955711365,61.12514138221741,72.23184108734131,563.17529296875,0.45344650745391846,0.6708794832229614,0.7899107933044434
1826,808,1,45.17972767353058,62.56626844406128,70.57129144668579,687.2600708007812,0.4528443217277527,0.6621558666229248,0.7847685217857361
1827,809,1,40.18300771713257,59.63468551635742,70.2275276184082,663.5581665039062,0.43618500232696533,0.6486470103263855,0.779761552810669
1828,810,1,44.9505478143692,63.919150829315186,75.43810606002808,558.5730590820312,0.4579918384552002,0.6767091751098633,0.7932676076889038
1829,811,1,37.308451533317566,55.900371074676514,72.37905859947205,622.0935668945312,0.44294458627700806,0.6562145948410034,0.7777553796768188
1830,812,1,41.83317720890045,60.445982217788696,72.75137305259705,726.256103515625,0.4655439555644989,0.6786063313484192,0.7988780736923218
1831,813,1,44.21597123146057,61.798495054244995,72.25692868232727,674.3751831054688,0.4540002942085266,0.6666700839996338,0.7893195152282715
1832,814,1,40.503984689712524,58.73393416404724,69.57623362541199,781.76171875,0.4420471787452698,0.658397376537323,0.7784419059753418
1833,815,1,43.904662132263184,63.85514736175537,74.8891532421112,602.7163696289062,0.4633508026599884,0.6791447401046753,0.7997922897338867
1834,816,1,39.59173560142517,53.065139055252075,65.1368498802185,747.4007568359375,0.4505079984664917,0.6580559015274048,0.7843849658966064
1835,817,1,43.106746673583984,59.75568890571594,68.83213520050049,682.4500732421875,0.44836923480033875,0.6664280891418457,0.7821018099784851
1836,818,1,44.40261721611023,60.19808650016785,72.28626012802124,502.4377746582031,0.46043118834495544,0.6664987802505493,0.7839599847793579
1837,819,1,42.519548535346985,55.73872923851013,69.39076781272888,686.2477416992188,0.4568389058113098,0.6646493673324585,0.7883381843566895
1838,820,1,42.91425049304962,60.937732458114624,72.449392080307,437.0610046386719,0.4522959887981415,0.6682019233703613,0.8004162907600403
1839,821,1,39.608219265937805,58.33577513694763,72.1291184425354,728.9520874023438,0.4416678249835968,0.654026210308075,0.7770510911941528
1840,822,1,43.773844838142395,60.141223669052124,71.86553478240967,460.43206787109375,0.45496445894241333,0.6551080942153931,0.7800881862640381
1841,823,1,42.49378442764282,62.471526861190796,75.54379105567932,607.9125366210938,0.43929997086524963,0.6581088900566101,0.7835254669189453
1842,824,1,42.346230149269104,62.00582981109619,72.36088514328003,550.9482421875,0.4560750722885132,0.6572672128677368,0.780643880367279
1843,825,1,42.72039532661438,58.644652366638184,71.42756581306458,495.6593933105469,0.4584217071533203,0.6638308763504028,0.7982634902000427
1844,826,1,36.79053783416748,57.22428560256958,68.64531636238098,457.14404296875,0.45784011483192444,0.6662641167640686,0.7903974056243896
1845,827,1,44.66594159603119,64.56385850906372,72.16605544090271,378.9747314453125,0.4558935761451721,0.6699609756469727,0.7810510396957397
